1.000000 0.001260
0.999758 0.001294
0.999033 0.001396
0.997825 0.001565
0.996135 0.001801
0.993965 0.002104
0.991318 0.002472
0.988195 0.002904
0.984599 0.003400
0.980535 0.003959
0.976007 0.004577
0.971017 0.005255
0.965572 0.005990
0.959677 0.006780
0.953336 0.007624
0.946558 0.008519
0.939347 0.009464
0.931711 0.010455
0.923657 0.011490
0.915194 0.012568
0.906329 0.013686
0.897071 0.014841
0.887429 0.016031
0.877411 0.017253
0.867029 0.018505
0.856292 0.019784
0.845210 0.021087
0.833794 0.022412
0.822055 0.023756
0.810005 0.025116
0.797654 0.026491
0.785016 0.027876
0.772102 0.029269
0.758925 0.030669
0.745497 0.032070
0.731832 0.033472
0.717942 0.034871
0.703842 0.036264
0.689544 0.037649
0.675063 0.039021
0.660413 0.040379
0.645607 0.041719
0.630661 0.043038
0.615588 0.044333
0.600404 0.045601
0.585122 0.046837
0.569758 0.048040
0.554326 0.049205
0.538842 0.050330
0.523320 0.051410
0.507776 0.052443
0.492224 0.053424
0.476680 0.054351
0.461158 0.055220
0.445674 0.056027
0.430242 0.056769
0.414878 0.057443
0.399596 0.058045
0.384412 0.058573
0.369339 0.059023
0.354393 0.059393
0.339587 0.059679
0.324937 0.059880
0.310456 0.059992
0.296158 0.060014
0.282058 0.059944
0.268168 0.059780
0.254503 0.059520
0.241075 0.059164
0.227898 0.058711
0.214984 0.058159
0.202346 0.057509
0.189995 0.056760
0.177945 0.055913
0.166206 0.054969
0.154790 0.053927
0.143708 0.052790
0.132971 0.051558
0.122589 0.050234
0.112571 0.048819
0.102929 0.047315
0.093671 0.045724
0.084806 0.044049
0.076343 0.042293
0.068289 0.040458
0.060653 0.038548
0.053442 0.036565
0.046664 0.034511
0.040323 0.032391
0.034428 0.030208
0.028983 0.027963
0.023993 0.025661
0.019465 0.023303
0.015401 0.020893
0.011805 0.018434
0.008682 0.015927
0.006035 0.013375
0.003865 0.010780
0.002175 0.008143
0.000967 0.005467
0.000242 0.002752
0.000000 0.000000
0.000000 0.000000
0.000242 -0.002752
0.000967 -0.005467
0.002175 -0.008143
0.003865 -0.010780
0.006035 -0.013375
0.008682 -0.015927
0.011805 -0.018434
0.015401 -0.020893
0.019465 -0.023303
0.023993 -0.025661
0.028983 -0.027963
0.034428 -0.030208
0.040323 -0.032391
0.046664 -0.034511
0.053442 -0.036565
0.060653 -0.038548
0.068289 -0.040458
0.076343 -0.042293
0.084806 -0.044049
0.093671 -0.045724
0.102929 -0.047315
0.112571 -0.048819
0.122589 -0.050234
0.132971 -0.051558
0.143708 -0.052790
0.154790 -0.053927
0.166206 -0.054969
0.177945 -0.055913
0.189995 -0.056760
0.202346 -0.057509
0.214984 -0.058159
0.227898 -0.058711
0.241075 -0.059164
0.254503 -0.059520
0.268168 -0.059780
0.282058 -0.059944
0.296158 -0.060014
0.310456 -0.059992
0.324937 -0.059880
0.339587 -0.059679
0.354393 -0.059393
0.369339 -0.059023
0.384412 -0.058573
0.399596 -0.058045
0.414878 -0.057443
0.430242 -0.056769
0.445674 -0.056027
0.461158 -0.055220
0.476680 -0.054351
0.492224 -0.053424
0.507776 -0.052443
0.523320 -0.051410
0.538842 -0.050330
0.554326 -0.049205
0.569758 -0.048040
0.585122 -0.046837
0.600404 -0.045601
0.615588 -0.044333
0.630661 -0.043038
0.645607 -0.041719
0.660413 -0.040379
0.675063 -0.039021
0.689544 -0.037649
0.703842 -0.036264
0.717942 -0.034871
0.731832 -0.033472
0.745497 -0.032070
0.758925 -0.030669
0.772102 -0.029269
0.785016 -0.027876
0.797654 -0.026491
0.810005 -0.025116
0.822055 -0.023756
0.833794 -0.022412
0.845210 -0.021087
0.856292 -0.019784
0.867029 -0.018505
0.877411 -0.017253
0.887429 -0.016031
0.897071 -0.014841
0.906329 -0.013686
0.915194 -0.012568
0.923657 -0.011490
0.931711 -0.010455
0.939347 -0.009464
0.946558 -0.008519
0.953336 -0.007624
0.959677 -0.006780
0.965572 -0.005990
0.971017 -0.005255
0.976007 -0.004577
0.980535 -0.003959
0.984599 -0.003400
0.988195 -0.002904
0.991318 -0.002472
0.993965 -0.002104
0.996135 -0.001801
0.997825 -0.001565
0.999033 -0.001396
0.999758 -0.001294
1.000000 -0.001260
